idciudad,Ciudad,idsexo,sexo,edad,Cantidad
1,Chuquisaca,2,Femenino,91,56
2,La Paz,2,Femenino,83,143
8,Beni,1,Masculino,73,11
4,Oruro,2,Femenino,101,5
7,Santa Cruz,1,Masculino,21,104
5,Potosí,1,Masculino,32,211
7,Santa Cruz,1,Masculino,24,1462
8,Beni,1,Masculino,70,10
7,Santa Cruz,1,Masculino,76,68
8,Beni,2,Femenino,40,90
8,Beni,1,Masculino,76,10
2,La Paz,2,Femenino,109,2
9,Pando,1,Masculino,39,57
5,Potosí,1,Masculino,58,76
8,Beni,2,Femenino,43,85
5,Potosí,2,Femenino,25,229
7,Santa Cruz,1,Masculino,50,513
7,Santa Cruz,2,Femenino,44,460
7,Santa Cruz,1,Masculino,74,80
3,Cochabamba,2,Femenino,80,160
7,Santa Cruz,1,Masculino,77,67
4,Oruro,2,Femenino,48,37
3,Cochabamba,2,Femenino,83,142
7,Santa Cruz,1,Masculino,100,10
7,Santa Cruz,2,Femenino,41,617
8,Beni,1,Masculino,23,195
4,Oruro,2,Femenino,71,16
4,Oruro,2,Femenino,74,7
7,Santa Cruz,2,Femenino,38,637
7,Santa Cruz,1,Masculino,106,2
6,Tarija,1,Masculino,35,214
8,Beni,1,Masculino,49,104
4,Oruro,2,Femenino,77,19
4,Oruro,2,Femenino,100,3
7,Santa Cruz,2,Femenino,47,404
8,Beni,1,Masculino,46,126
8,Beni,1,Masculino,52,100
7,Santa Cruz,2,Femenino,70,63
7,Santa Cruz,1,Masculino,103,1
7,Santa Cruz,2,Femenino,76,68
9,Pando,2,Femenino,46,12
2,La Paz,2,Femenino,75,98
1,Chuquisaca,1,Masculino,49,72
1,Chuquisaca,1,Masculino,52,72
7,Santa Cruz,2,Femenino,73,65
9,Pando,2,Femenino,49,10
5,Potosí,2,Femenino,71,46
9,Pando,1,Masculino,102,1
1,Chuquisaca,1,Masculino,29,237
2,La Paz,2,Femenino,78,111
7,Santa Cruz,2,Femenino,99,5
4,Oruro,2,Femenino,103,2
6,Tarija,1,Masculino,41,182
2,La Paz,2,Femenino,98,28
2,La Paz,2,Femenino,101,8
5,Potosí,2,Femenino,94,40
4,Oruro,2,Femenino,106,1
9,Pando,2,Femenino,72,2
6,Tarija,1,Masculino,38,196
2,La Paz,2,Femenino,104,5
6,Tarija,2,Femenino,34,157
2,La Paz,2,Femenino,107,2
7,Santa Cruz,2,Femenino,105,1
9,Pando,2,Femenino,78,6
6,Tarija,1,Masculino,44,148
7,Santa Cruz,2,Femenino,108,1
5,Potosí,2,Femenino,103,3
5,Potosí,2,Femenino,97,16
1,Chuquisaca,1,Masculino,26,331
5,Potosí,2,Femenino,100,15
1,Chuquisaca,1,Masculino,23,162
7,Santa Cruz,2,Femenino,102,5
9,Pando,2,Femenino,75,7
6,Tarija,1,Masculino,70,28
5,Potosí,1,Masculino,72,48
2,La Paz,1,Masculino,102,4
1,Chuquisaca,2,Femenino,54,44
3,Cochabamba,1,Masculino,26,900
9,Pando,1,Masculino,73,4
2,La Paz,2,Femenino,43,263
9,Pando,1,Masculino,70,1
5,Potosí,2,Femenino,39,97
6,Tarija,1,Masculino,96,6
2,La Paz,1,Masculino,99,10
6,Tarija,2,Femenino,43,81
3,Cochabamba,1,Masculino,23,434
1,Chuquisaca,2,Femenino,28,219
8,Beni,2,Femenino,74,13
5,Potosí,2,Femenino,36,129
5,Potosí,1,Masculino,95,23
2,La Paz,1,Masculino,79,65
6,Tarija,1,Masculino,99,1
8,Beni,2,Femenino,77,6
