idciudadvotacion,NombreCiudad,idProvincia,NombreProvincia,idmun,NombreMunicipio,idpersona,idsexo,Des_sexo,edad
2,La Paz,1,Murillo,5,El Alto,2235610,2,Femenino,28
2,La Paz,1,Murillo,5,El Alto,2282949,2,Femenino,34
2,La Paz,1,Murillo,5,El Alto,2468475,1,Masculino,37
2,La Paz,1,Murillo,5,El Alto,2686814,1,Masculino,34
2,La Paz,1,Murillo,5,El Alto,2816102,1,Masculino,33
2,La Paz,1,Murillo,5,El Alto,2884090,1,Masculino,24
2,La Paz,1,Murillo,5,El Alto,8862967,1,Masculino,23
2,La Paz,1,Murillo,5,El Alto,1186327,1,Masculino,44
2,La Paz,1,Murillo,5,El Alto,10524337,1,Masculino,35
2,La Paz,1,Murillo,5,El Alto,10908632,1,Masculino,28
2,La Paz,1,Murillo,5,El Alto,153020,2,Femenino,23
2,La Paz,1,Murillo,5,El Alto,1304094,1,Masculino,30
2,La Paz,1,Murillo,5,El Alto,1186745,1,Masculino,33
2,La Paz,1,Murillo,5,El Alto,1477327,1,Masculino,36
2,La Paz,1,Murillo,5,El Alto,1594804,1,Masculino,83
2,La Paz,1,Murillo,5,El Alto,2268059,2,Femenino,31
2,La Paz,1,Murillo,5,El Alto,2513149,1,Masculino,41
2,La Paz,1,Murillo,5,El Alto,10414962,1,Masculino,29
2,La Paz,1,Murillo,5,El Alto,2085406,1,Masculino,28
2,La Paz,1,Murillo,5,El Alto,2100077,1,Masculino,42
2,La Paz,1,Murillo,5,El Alto,2184241,1,Masculino,28
2,La Paz,1,Murillo,5,El Alto,2281995,1,Masculino,25
2,La Paz,1,Murillo,5,El Alto,2302033,1,Masculino,34
2,La Paz,1,Murillo,5,El Alto,2312525,2,Femenino,24
2,La Paz,1,Murillo,5,El Alto,2326715,2,Femenino,41
2,La Paz,1,Murillo,5,El Alto,2347757,2,Femenino,36
2,La Paz,1,Murillo,5,El Alto,2572056,1,Masculino,37
2,La Paz,1,Murillo,5,El Alto,2610860,2,Femenino,40
2,La Paz,1,Murillo,5,El Alto,2667216,1,Masculino,40
2,La Paz,1,Murillo,5,El Alto,2723936,1,Masculino,32
2,La Paz,1,Murillo,5,El Alto,2776983,2,Femenino,40
2,La Paz,1,Murillo,5,El Alto,2862351,2,Femenino,25
2,La Paz,1,Murillo,5,El Alto,2874870,2,Femenino,30
2,La Paz,1,Murillo,5,El Alto,2890009,1,Masculino,30
2,La Paz,1,Murillo,5,El Alto,8172118,2,Femenino,29
2,La Paz,1,Murillo,5,El Alto,8361623,1,Masculino,28
2,La Paz,1,Murillo,5,El Alto,8450914,2,Femenino,34
2,La Paz,1,Murillo,5,El Alto,9026211,2,Femenino,52
